Land-River Segment,FIPS,County,Tributary Basin,Major Basin,Source Sector,"Total N, 1985 (lb.)","Total N, 2007 (lb.)","Total N, 2009 (lb.)","Total N, 2010 (lb.)","Total N, 2011 (lb.)","Total N, 2012 (lb.)","Total N, 2013 (lb.)","Total N, 2014 (lb.)","Total N, 2015 (lb.)","Total N, 2016 (lb)","Total N Target, 2017 (lb.)",Total N Target 2025 (lb.)
A24001PU1_3100_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0.377430111,0.377430111,0.377430111,0,0,0,0,0.2264580876,0.377430146
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,13956.272873,5724.6828765999999,4847.8866768999997,4924.0139196999999,4785.6529486999998,4345.3072552000003,3847.0892097000001,6396.1023562,6207.5954971313486,5956.3156356811523,4904.2898510200002,4941.8919671000003
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,13574.423099,11876.821782000001,11801.787353,11801.391235999999,11817.072018999999,11780.316408999999,12063.676332999999,11560.090033,11507.734433174131,11765.212402343752,11949.3580556,12047.738524
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,582.4102173,284.53518680000002,284.53518680000002,284.53518680000002,284.53518680000002,284.53518680000002,284.53518680000002,284.53518680000002,284.53518676757807,284.53518676757807,284.53517234000003,284.5351627
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,505.46481319999998,577.6740112,608.75469969999995,623.74267580000003,631.23797609999997,638.16729740000005,651.79388429999995,580.34997559999999,578.47967529296886,576.7462158203125,539.93156493999993,494.0494751
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,5865.3732300000001,6168.2050778000003,6048.8842768000004,6000.1353147,6024.3323671999997,6366.9096687000001,5457.4273065999996,5347.5006720000001,5199.5557708740234,5187.151412963869,5626.4381470600001,5344.8073938999996
A24001PU1_3580_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,4478.2235103000003,4448.2949214,4433.3158106999999,4457.2295145999997,5556.0512543000004,5546.7676543999996,5527.8811569999998,5588.5586701000002,5437.447265625,5638.6033630371103,4975.1919946799999,5336.4427839999998
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,416.11244921999997,170.67727696,144.5465883,146.82337695999999,142.64361865000001,129.54916334000001,114.72189879,190.73753357999999,185.07680678367612,177.5751473903656,146.219491038,147.33475953000001
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,480.59070965000001,429.17142294000001,427.24209589999998,428.23464390999999,429.35551070999998,429.17241288000002,429.86747738999998,412.26368948999999,409.96697074174887,418.92511463165278,432.62865334999998,436.21969165000002
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,6.725055218,6.813694,6.859467983,6.859461784,6.859449863,11.59263992,8.683818817000001,8.586138725280762,8.433747291564941,5.9854149718,5.433228953
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,25.186889324999999,19.554534043,19.581965896,19.323354249000001,19.329207897,19.404352664000001,23.430314060000001,23.725949760999999,21.730056971311569,21.93942508101463,17.9262627604,16.822460670000002
A24001PU2_3180_3370,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24003WM0_3742_0000,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Septic,0,0,0,0,,,,,,,0,0
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,26013.088621999999,10670.212423999999,9035.9907612000006,9177.8256648000006,8905.8129153999998,8095.0823360000004,7169.6250996999997,11921.47406,11571.409515380861,11102.900161743164,9141.0705271799998,9211.1237044999998
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,29875.432131000001,26634.287597999999,26518.337651000002,26580.833492999998,26638.017943999999,26639.863647999999,26548.370361000001,25621.662175000001,25427.502220153812,25989.147644042965,26852.640117200001,27075.508428000001
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,133.33839420000001,65.142150880000003,65.142150880000003,65.142150880000003,65.142150880000003,65.142150880000003,65.142150880000003,65.142150880000003,65.14215087890625,65.14215087890625,65.142153706000002,65.142155590000002
A24003WM0_3742_0000,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Wastewater,45849.738279999998,33734.558590000001,20323.240229999999,22419.320309999999,,,,,,,8129.2960920000005,
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,507.05670170000002,456.55929570000001,453.76589969999998,452.20541379999997,450.6447144,449.6047974,654.55657959999996,462.63439940000001,463.80230712890625,467.64691162109375,396.41638223999996,358.18337059999999
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,2761.1654051,2022.139183,2003.2095260999999,1978.0760270000001,2030.5112300999999,1983.157387,2631.5223157,2103.2564010000001,2320.13671875,2270.4778213500977,1837.4443776000001,1726.9342786
A24001PU2_3370_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,308.5470886,287.71569820000002,304.47149660000002,404.37429809999998,333.34570309999998,276.03671259999999,420.8963928,279.81781009999997,0,256.28009033203125,319.97741366000002,330.31469170000003
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,13775.614449999999,5650.5717735999997,4785.1344946999998,4860.2722243999997,4723.2732028,4288.9909539999999,3798.5084922000001,6314.4986114000003,6127.1411361694336,5879.2245407104483,4840.7716839799996,4877.8631434999998
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,15014.06006,13511.496461000001,13455.102727,13488.094666999999,13526.374329,13520.938961,13508.283449,12941.659121999999,12896.731151580809,13182.221771240238,13624.767036400001,13737.876576000001
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,896.12017820000005,437.79748540000003,437.79748540000003,437.79748540000003,437.79748540000003,437.79748540000003,437.79748540000003,437.79748540000003,437.7974853515625,437.7974853515625,437.79749787999998,437.79750619999999
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,355.9071045,322.22509769999999,316.4786072,314.23388670000003,311.9894104,310.8684998,442.41958620000003,329.00689699999998,327.36169433593756,326.09829711914062,275.93093749999997,248.89915769999999
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,7760.0658340999998,5591.7370978999998,5551.8562651000002,5388.5932509000004,5381.5173384999998,5400.5093613999998,5799.7734755000001,5808.2170483999998,5479.9077415466309,5479.5320510864267,5036.10570628,4692.2720004000003
A24001PU4_3780_3930,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,6702.5715325000001,5767.3570550000004,5767.3570550000004,5767.3570550000004,1745.160034,1745.160034,269.03710940000002,269.03710940000002,269.037109375,269.037109375,6141.8661680000005,6391.5389100000002
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,250.69136085,102.86386843,87.053386387000003,88.527138801000007,85.818702759000004,78.124392979999996,69.105679093000006,114.95083451000001,111.54439103603362,107.0497989654541,88.098603804999996,88.795415417000001
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,56.783619883999997,58.483611826000001,58.732294559000003,59.148060321999999,59.647320506,59.892055509999999,69.066844703000001,64.779877128999999,64.747524060308947,66.484626889228807,59.482281610400001,59.982272977999997
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,163.74119569999999,79.995361329999994,79.995361329999994,79.995361329999994,79.995361329999994,79.995361329999994,79.995361329999994,79.995361329999994,79.995361328124986,79.995361328124986,79.995357904000002,79.995355619999998
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,68.062650056999999,52.219510640999999,51.501867474000001,51.066324301000002,51.027288871000003,50.932248596000001,22.575096352999999,22.461206269000002,22.231801956892014,22.372486464679245,47.309349244799996,44.514337091999998
A24001PU4_3890_3990,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,9047.0539559999997,9064.9968270000008,9064.9968270000008,9064.9968270000008,9971.0708009999998,9971.0708009999998,9947.9409180000002,9947.9409180000002,9947.94091796875,9947.94091796875,7143.2531142600001,5862.0906390999999
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,198.97429883000001,81.568226339999995,69.094673634000003,70.211259338999994,68.156263822,61.964082871999999,54.869831619999999,91.226565358000002,88.535374879837036,84.949453830719008,69.908029396200007,70.450266571
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,59.396391864999998,52.916022058999999,52.552966828999999,52.972230195999998,53.160262588999998,52.958608151999996,63.850132709,60.140477715999999,60.783717446029186,62.435465097427354,53.225792759600004,53.674343380000003
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,175.21209719999999,85.599426269999995,85.599426269999995,85.599426269999995,85.599426269999995,85.599426269999995,85.599426269999995,85.599426269999995,85.59942626953125,85.59942626953125,85.599426881999989,85.599427289999994
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,0,0,0,0,0,0,0,0,0,0,0
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,252.94135763,234.68280027,233.28035929000001,222.67565264000001,221.14016221,226.20831282,190.11592134,188.53492202999999,184.17627131938937,184.47096729278564,210.409253896,195.1618503
A24001PU4_3990_3780,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,155036.90984000001,84204.986367000005,90380.736367000005,104034.74421999999,59928.710370000001,20930.882239999999,26676.382016,22523.292175999999,17444.751158177853,27905.051939427845,68069.90278840001,53196.013736000001
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,25909.701462000001,10627.746741999999,9000.0693589000002,9141.2929340999999,8890.5123174,8067.0184744999997,7122.8288040999996,11853.172667999999,11524.285278320313,11057.821182250977,9104.6954014599996,9174.4460964999998
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,42033.718263000002,37136.959470000002,36951.113895000002,37024.917851999999,37119.476069999997,37077.539304999998,37095.445437000002,35665.076749,35395.6689453125,36157.155090332031,37416.5136738,37726.780192999999
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,864.37738039999999,422.28961179999999,422.28961179999999,422.28961179999999,422.28961179999999,422.28961179999999,422.28961179999999,422.28961179999999,422.28961181640625,422.28961181640625,422.28957214000002,422.28954570000002
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,1692.3089600000001,1443.590942,1413.510986,1399.411987,1390.4410399999999,1378.573975,1844.8330080000001,1460.744995,1451.68896484375,1436.2130126953123,1230.4750094000001,1108.4510250000001
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,4036.7634277000002,3139.9211727000002,3106.3972165,3049.6850589999999,3043.0689699999998,3048.6199959999999,3505.8485111,3493.6677850000001,3692.3881225585933,3619.7731933593755,2837.0874033999999,2657.5475280000001
A24001PU5_3930_4170,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,133.07725277999998,221.79542129999999
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,370.28445936999998,151.89715576,128.65770555,130.56852132,126.77616227,115.32679012,102.13527882,169.66247655000001,164.74591469764709,158.0673360824585,130.09333393200001,131.05041951999999
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,1812.2827299,1570.7750699000001,1561.0314943000001,1563.1233517999999,1564.9241566999999,1563.0779951,1566.1162723,1511.4210410999999,1500.4569745063779,1531.2849769592285,1580.6581094200001,1593.7425195000001
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,555.78912349999996,271.52951050000001,271.52951050000001,271.52951050000001,271.52951050000001,271.52951050000001,271.52951050000001,271.52951050000001,271.52951049804687,271.52951049804687,271.5295021,271.52949649999999
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,5.631364822,5.367186069,5.236279011,5.236281872,5.236299992,6.545972824,7.853787899,0,7.832178115844726,4.6354126476,4.1475637
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,5.114351988,3.869580984,3.821786046,3.773731947,3.761368036,3.766434073,8.000995159,8.696262000999999,6.8886559009552,6.606855154037476,3.5017136298,3.288332019
A24001PU5_4170_4020,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,433.52463059000002,177.79602647999999,150.53481531,152.90518832000001,148.45573866000001,134.95542889999999,119.41728997,198.72825336,192.81442761421204,184.91600918769836,152.30836057799999,153.49072408999999
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,16820.557247000001,14456.675106999999,14359.382024,14374.481324,14385.708307999999,14364.539671,14379.497557000001,13899.980697999999,13785.064977645876,14063.698455810547,14539.905753200001,14660.254906
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,4568.2919920000004,2231.8278810000002,2231.8278810000002,2231.8278810000002,2231.8278810000002,2231.8278810000002,2231.8278810000002,2231.8278810000002,2231.8278808593755,2231.8278808593755,2231.8279716000002,2231.8280319999999
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,43.705249790000003,41.594120029999999,40.547401430000001,40.416580199999999,40.155490880000002,25.120029450000001,64.066146849999996,63.671089172363274,63.161369323730483,35.907936014000001,32.117146669999997
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,899.74536227999999,687.71413327000005,679.59699921000004,669.61039730000005,667.56080629999997,668.83639530000005,748.09623338999995,754.13434984000003,797.31949615478516,781.95870971679687,622.04508536399999,583.67714279999996
A24001PU6_3870_3690,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Agriculture,2906.6039904999998,1192.162282,1009.6092319000001,1025.4929761000001,997.25796511999999,904.96659648000002,801.53338142999996,1332.3495103,1292.694167137146,1240.5223827362061,1021.3562089,1029.1875269
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Forest,18178.663815,15723.464481999999,15623.967350000001,15643.840088999999,15668.549504000001,15640.723206000001,15625.569153,15126.564394999999,15020.106859207152,15327.0185546875,15820.380952400001,15951.323354
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Non-Tidal Atm,839.10278319999998,409.94198610000001,409.94198610000001,409.94198610000001,409.94198610000001,409.94198610000001,409.94198610000001,409.94198610000001,409.94198608398437,409.94198608398437,409.94194878000002,409.94192390000001
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Septic,0,176.89889529999999,166.76699830000001,161.73649599999999,159.01750179999999,156.30220030000001,123.8630981,211.7799072,210.32580566406247,206.51690673828125,143.57274946000001,128.1099169
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Stormwater,997.87232727000003,695.79261858999996,684.70805057999996,683.62786104999998,680.91498602000001,680.84214774999998,941.08194800000001,770.70130639000001,699.57224893569935,704.20677828788757,631.69756165199999,596.35723570000005
A24001PU6_4020_3870,24001,ALLEGANY,Upper Potomac,Potomac River Basin,Wastewater,0,0,0,0,0,0,0,0,0,0,0,
A24003WM0_3742_0000,24003,ANNE ARUNDEL,Patapsco/Back,Western Shore of Chesapeake Bay,Stormwater,0,0,0,0,,,,,,,0,0
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,416.32123254999999,235.51812705,217.01626457,209.07016068999999,197.92959427,190.84767357000001,182.06713164000001,187.21452855999999,170.65224575996399,167.56575381755832,154.714608728,113.1801715
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,8764.8886719999991,5910.3708193000002,5699.9457702999998,5650.7832638999998,5615.1147768999999,5563.2449340000003,6129.1511839000004,5672.6180113999999,5589.5117607116708,5627.9467391967773,5651.0318696799995,5618.4226025999997
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,622.43542479999996,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.3887024,308.38870239257807,308.38870239257807,308.38870353999999,308.38870429999997
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,62891.738279999998,66556.71875,66119.117190000004,65737.09375,65199.261720000002,64643.988279999998,64304.171880000002,64867.578130000002,64624.789062499993,64162.98046875,47275.941156000001,34713.823799999998
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,60435.638225000002,56345.040199000003,55802.269058999998,53881.689060999997,53892.384919999997,54411.668828000002,51758.198063000003,51954.639917,52406.865051269531,52359.947265625,43695.427054200001,35624.199051000003
A24003WL0_4390_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,2625.844971,2629.88501,2631.9360350000002,2631.9360350000002,2631.9360350000002,15.213009830000001,15.213009830000001,15.213009834289553,15.213009834289553,1061.0743150640001,15.20051844
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,1243.6900894,703.47364353,647.98330506000002,624.58088810000004,592.03320490999999,569.99483181999994,543.94943517000002,559.54031124000005,509.64620494842535,500.29311418533314,462.09708907800001,338.17294508999998
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,5297.5909726999998,4240.7120058999999,4167.0611728000003,4118.9406276999998,4115.5214390000001,4100.9991148999998,3960.3881071000001,3748.6352956999999,3707.5748577117924,3725.8627586364751,4131.6811499800006,4108.0944681000001
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,1999.7010499999999,990.76208499999996,990.76208499999996,990.76208499999996,990.76208499999996,990.76208499999996,990.76208499999996,990.76208499999996,990.76208496093761,990.76208496093761,990.76206549999995,990.76205249999998
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,34588.949220000002,34652.800779999998,34597.199220000002,34348.339840000001,34090.820310000003,36190.640630000002,39290.839840000001,39266.37890625,39120.94921875,24822.743878000001,18269.372609999999
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,15456.592543999999,14481.010131999999,14350.179123,13881.946076,13856.591156,14015.218833999999,14816.200897000001,15157.66653,14989.766082763674,15006.754119873049,11253.820223279999,9189.5809568000004
A24003WL0_4391_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,256.59521480000001,65.092048649999995,0.609612584,0.609612584,0.609612584,0.609612584,0.609612584,0.609612584114075,0.609612584114075,26.402286659999994,0.609112
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,1491.9354948,844.05179720000001,777.44848559000002,749.45692262,710.08056525999996,683.60791711000002,652.53847246999999,671.30375862000005,611.56792640686012,600.05288076400757,554.38341068,405.67336074000002
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,6184.7858274999999,3260.6126250000002,3128.5808259999999,3133.8027800999998,3119.4206233,3099.2025143999999,3307.4321598000001,3033.7630497999999,2930.3767299652104,2959.1491088867192,3102.0854909200002,3084.4219342000001
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,1368.4530030000001,678.00677489999998,678.00677489999998,678.00677489999998,678.00677489999998,678.00677489999998,678.00677489999998,678.00677489999998,678.00677490234386,678.00677490234386,678.00677285999996,678.00677150000001
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,20452.75,21836.640630000002,21596.140630000002,21422.099610000001,21217.929690000001,20993.320309999999,17946.460940000001,18472.279299999998,18396.66015625,18229.130859375,15426.888436000001,11314.05364
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,49976.038504999997,49573.356968,49011.514062000002,47199.34979,47188.477274999997,47549.987517000001,46966.269500000002,47497.807376999997,47075.964813232415,47020.129272460938,38273.9292174,31115.539321
A24003WL0_4392_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,14370.030269999999,6246.8217770000001,6246.8217770000001,6246.8217770000001,6246.8217770000001,3.950078964,3.950078964,3.950078964233399,3.950078964233399,2533.8024729098001,58.456270183000001
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,456.44535796999998,258.16314822999999,237.74247475000001,229.20939874999999,217.52436853,209.23277107000001,199.53607163999999,205.39282750999999,187.00026082992557,183.57723736763,169.571807476,124.12469596
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,209.61189461000001,205.4112768,205.90883160999999,204.67385388,205.63004783,206.37001223999999,150.72122005,148.28641332000001,141.89645719528195,143.63663983345029,204.19308254200001,203.04924983000001
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Non-Tidal Atm,114.7687988,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.8628006,56.862800598144524,56.862800598144524,56.862800804000003,56.86280094
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Septic,0,1002.554016,955.36981200000002,926.07348630000001,911.91979979999996,870.50341800000001,993.33062740000003,1449.8389890000001,1524.470947265625,1511.83203125,675.50080656,488.92146960000002
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Stormwater,608.25634760000003,493.73178475999998,484.43811789,466.33702851999999,466.34489056000001,469.15649409999997,717.36311909000005,715.21574397999996,719.36284732818615,718.72117424011242,378.04996595400002,307.12453133000002
A24003WL0_4393_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Wastewater,0,1719.8330080000001,1719.8330080000001,1719.8330080000001,1719.8330080000001,1719.8330080000001,59.431140900000003,59.431140900000003,59.431140899658203,59.431140899658203,691.58422052800006,6.08502888
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Agriculture,960.42089691000001,543.35731455999996,500.39741407000002,482.24970840999998,457.08634567000001,440.25218058000002,419.97396855,432.25611350000003,393.73032474517822,386.41066455841059,356.78327095600002,261.04050888
A24003WL0_4394_0000,24003,ANNE ARUNDEL,Lower Western Shore,Western Shore of Chesapeake Bay,Forest,1353.0103455000001,1192.8111266000001,1168.7712627000001,1152.6702499,1148.6784631,1145.1914096999999,703.03789328000005,1015.8511041,1004.1410913467408,1008.6888008117674,1158.8356624800001,1152.2119290000001
